丽苑太和,东城-东单,金鱼胡同丽苑太和,1室,建面 60-239㎡,900-4000- (万/套)(总价),
爱这城三期,朝阳-四惠,十里堡乙2号院,,,60000- 元/㎡(均价),总价520(万/套)
硅谷ONE,昌平-北七家,北京市昌平区北七家镇平坊村海白路,2室,建面 72-129㎡,54000- 元/㎡(均价),总价380-650(万/套)
绿城·桂语听澜,通州-通州其它,水南路桂语听澜,3室,建面 103-128㎡,58000- 元/㎡(均价),总价600(万/套)
公园和御,顺义-顺义其它,顺泰路公园和御,2室,建面 72-115㎡,39000- 元/㎡(均价),总价275-440(万/套)
晓风印月,朝阳-朝阳其它,北京市朝阳区崔各庄乡南皋路北侧,3室,建面 102-169㎡,85000- 元/㎡(均价),总价870-1000(万/套)
保利锦上二期,朝阳-垡头,东五环保利锦上二期,3室,建面 67-170㎡,71000- 元/㎡(均价),总价690-1260(万/套)
中海兴叁號院,大兴-旧宫,庑殿路中海兴叁號院,3室,建面 118-186㎡,73000- 元/㎡(均价),总价860-1050(万/套)
懋源璟瑜,丰台-七里庄,北京市丰台区七里庄路4号院西北（丰华苑东街西）,4室,建面 230㎡,130000- 元/㎡(均价),总价3000(万/套)
懋源璟廷,丰台-七里庄,北京市丰台区望园东里西北（望园北路北）,3室,建面 157-209㎡,130000- 元/㎡(均价),总价2078-2700(万/套)
京能云璟壹号,密云-鼓楼街道,阳光街京能云璟壹号,4室,建面 168-220㎡,36500- 元/㎡(均价),总价620-815(万/套)
懋源煜泽台,丰台-七里庄,北京市丰台区七里庄中国农业银行（北京丰台支行）南,3室,建面 99-229㎡,115000- 元/㎡(均价),总价1200-2900(万/套)
保利首开和锦汇,朝阳-常营,黄渠东路保利首开·和锦汇,,,90000- 元/㎡(均价),总价500(万/套)
尚峯壹号峯境,顺义-顺义其它,昌金路尚峯壹号峯境,,,30000- 元/㎡(均价),总价350(万/套)
国风金海,平谷-平谷其它,平蓟路与环镇东路交汇,1室,建面 53-87㎡,22000- 元/㎡(均价),总价120-190(万/套)
合景泰富天汇,顺义-马坡,顺义区昌金路与通顺路交汇处,2室,建面 70-117㎡,33000- 元/㎡(均价),总价230-430(万/套)
万科雲庐,丰台-丰台其它,魏各庄路万科雲庐,4室,建面 200-330㎡,39000- 元/㎡(均价),总价852-950(万/套)
万科雲庐,丰台-丰台其它,魏各庄路万科雲庐。售楼处位置在山湖路与泉湖西湖交叉位置,4室,建面 104-300㎡,39000- 元/㎡(均价),总价656-820(万/套)
海淀幸福里,海淀-海淀北部新区,北京市海淀区北清路与友谊路交叉口西北角,,建面 98-195㎡,83000- 元/㎡(均价),总价1200(万/套)
中海甲叁號院,丰台-玉泉营,丰台恒丰路,4室,建面 145-200㎡,125000- 元/㎡(均价),总价2500(万/套)
懋源·璟玺,朝阳-中央别墅区,孙河京密路与京平辅路交叉口西行1000米,4室,建面 500-716㎡,86000- 元/㎡(均价),总价3795-6360(万/套)
郎府书苑,通州-通州其它,西集镇京哈高速郎府出口南侧300米,3室,建面 89-116㎡,28000- 元/㎡(均价),总价294-324(万/套)
建邦·顺颐府,顺义-后沙峪,空港B区裕民大街30号,3室,建面 270㎡,55583- 元/㎡(均价),总价1300(万/套)
航城壹号,大兴-大兴新机场,大广高速瓜乡桥西北300米航城壹号,2室,建面 100-175㎡,32000- 元/㎡(均价),总价320-550(万/套)
北京天誉,丰台-十里河,北京市丰台区小红门路312号,3室,建面 150-220㎡,120000- 元/㎡(均价),总价2058-2850(万/套)
复地通运府,通州-万达,北京市通州区北大街148号,2室,建面 102-127㎡,42000- 元/㎡(均价),总价440-530(万/套)
中建宸庐,顺义-马坡,大营四街中建宸庐,3室,建面 170-190㎡,40000- 元/㎡(均价),总价850-1100(万/套)
合生me悦,大兴-瀛海,大兴区南五环德茂站西200米,2室,建面 52-120㎡,65000- 元/㎡(均价),总价490-760(万/套)
西山相府,门头沟-城子,城子大街13号,3室,建面 125-143㎡,58000- 元/㎡(均价),总价720-850(万/套)
国祥源境,密云-鼓楼街道,水源东路国祥源境,3室,建面 89-210㎡,29500- 元/㎡(均价),总价250-670(万/套)
丽苑太和,东城-东单,金鱼胡同丽苑太和,1室,建面 60-239㎡,900-4000- (万/套)(总价),
爱这城三期,朝阳-四惠,十里堡乙2号院,,,60000- 元/㎡(均价),总价520(万/套)
硅谷ONE,昌平-北七家,北京市昌平区北七家镇平坊村海白路,2室,建面 72-129㎡,54000- 元/㎡(均价),总价380-650(万/套)
绿城·桂语听澜,通州-通州其它,水南路桂语听澜,3室,建面 103-128㎡,58000- 元/㎡(均价),总价600(万/套)
公园和御,顺义-顺义其它,顺泰路公园和御,2室,建面 72-115㎡,39000- 元/㎡(均价),总价275-440(万/套)
晓风印月,朝阳-朝阳其它,北京市朝阳区崔各庄乡南皋路北侧,3室,建面 102-169㎡,85000- 元/㎡(均价),总价870-1000(万/套)
保利锦上二期,朝阳-垡头,东五环保利锦上二期,3室,建面 67-170㎡,71000- 元/㎡(均价),总价690-1260(万/套)
中海兴叁號院,大兴-旧宫,庑殿路中海兴叁號院,3室,建面 118-186㎡,73000- 元/㎡(均价),总价860-1050(万/套)
懋源璟瑜,丰台-七里庄,北京市丰台区七里庄路4号院西北（丰华苑东街西）,4室,建面 230㎡,130000- 元/㎡(均价),总价3000(万/套)
懋源璟廷,丰台-七里庄,北京市丰台区望园东里西北（望园北路北）,3室,建面 157-209㎡,130000- 元/㎡(均价),总价2078-2700(万/套)
京能云璟壹号,密云-鼓楼街道,阳光街京能云璟壹号,4室,建面 168-220㎡,36500- 元/㎡(均价),总价620-815(万/套)
懋源煜泽台,丰台-七里庄,北京市丰台区七里庄中国农业银行（北京丰台支行）南,3室,建面 99-229㎡,115000- 元/㎡(均价),总价1200-2900(万/套)
保利首开和锦汇,朝阳-常营,黄渠东路保利首开·和锦汇,,,90000- 元/㎡(均价),总价500(万/套)
尚峯壹号峯境,顺义-顺义其它,昌金路尚峯壹号峯境,,,30000- 元/㎡(均价),总价350(万/套)
国风金海,平谷-平谷其它,平蓟路与环镇东路交汇,1室,建面 53-87㎡,22000- 元/㎡(均价),总价120-190(万/套)
合景泰富天汇,顺义-马坡,顺义区昌金路与通顺路交汇处,2室,建面 70-117㎡,33000- 元/㎡(均价),总价230-430(万/套)
万科雲庐,丰台-丰台其它,魏各庄路万科雲庐,4室,建面 200-330㎡,39000- 元/㎡(均价),总价852-950(万/套)
万科雲庐,丰台-丰台其它,魏各庄路万科雲庐。售楼处位置在山湖路与泉湖西湖交叉位置,4室,建面 104-300㎡,39000- 元/㎡(均价),总价656-820(万/套)
海淀幸福里,海淀-海淀北部新区,北京市海淀区北清路与友谊路交叉口西北角,,建面 98-195㎡,83000- 元/㎡(均价),总价1200(万/套)
中海甲叁號院,丰台-玉泉营,丰台恒丰路,4室,建面 145-200㎡,125000- 元/㎡(均价),总价2500(万/套)
懋源·璟玺,朝阳-中央别墅区,孙河京密路与京平辅路交叉口西行1000米,4室,建面 500-716㎡,86000- 元/㎡(均价),总价3795-6360(万/套)
郎府书苑,通州-通州其它,西集镇京哈高速郎府出口南侧300米,3室,建面 89-116㎡,28000- 元/㎡(均价),总价294-324(万/套)
建邦·顺颐府,顺义-后沙峪,空港B区裕民大街30号,3室,建面 270㎡,55583- 元/㎡(均价),总价1300(万/套)
航城壹号,大兴-大兴新机场,大广高速瓜乡桥西北300米航城壹号,2室,建面 100-175㎡,32000- 元/㎡(均价),总价320-550(万/套)
北京天誉,丰台-十里河,北京市丰台区小红门路312号,3室,建面 150-220㎡,120000- 元/㎡(均价),总价2058-2850(万/套)
复地通运府,通州-万达,北京市通州区北大街148号,2室,建面 102-127㎡,42000- 元/㎡(均价),总价440-530(万/套)
中建宸庐,顺义-马坡,大营四街中建宸庐,3室,建面 170-190㎡,40000- 元/㎡(均价),总价850-1100(万/套)
合生me悦,大兴-瀛海,大兴区南五环德茂站西200米,2室,建面 52-120㎡,65000- 元/㎡(均价),总价490-760(万/套)
西山相府,门头沟-城子,城子大街13号,3室,建面 125-143㎡,58000- 元/㎡(均价),总价720-850(万/套)
国祥源境,密云-鼓楼街道,水源东路国祥源境,3室,建面 89-210㎡,29500- 元/㎡(均价),总价250-670(万/套)
丽苑太和,东城-东单,金鱼胡同丽苑太和,1室,建面 60-239㎡,900-4000- (万/套)(总价),
爱这城三期,朝阳-四惠,十里堡乙2号院,,,60000- 元/㎡(均价),总价520(万/套)
硅谷ONE,昌平-北七家,北京市昌平区北七家镇平坊村海白路,2室,建面 72-129㎡,54000- 元/㎡(均价),总价380-650(万/套)
绿城·桂语听澜,通州-通州其它,水南路桂语听澜,3室,建面 103-128㎡,58000- 元/㎡(均价),总价600(万/套)
公园和御,顺义-顺义其它,顺泰路公园和御,2室,建面 72-115㎡,39000- 元/㎡(均价),总价275-440(万/套)
晓风印月,朝阳-朝阳其它,北京市朝阳区崔各庄乡南皋路北侧,3室,建面 102-169㎡,85000- 元/㎡(均价),总价870-1000(万/套)
保利锦上二期,朝阳-垡头,东五环保利锦上二期,3室,建面 67-170㎡,71000- 元/㎡(均价),总价690-1260(万/套)
中海兴叁號院,大兴-旧宫,庑殿路中海兴叁號院,3室,建面 118-186㎡,73000- 元/㎡(均价),总价860-1050(万/套)
懋源璟瑜,丰台-七里庄,北京市丰台区七里庄路4号院西北（丰华苑东街西）,4室,建面 230㎡,130000- 元/㎡(均价),总价3000(万/套)
懋源璟廷,丰台-七里庄,北京市丰台区望园东里西北（望园北路北）,3室,建面 157-209㎡,130000- 元/㎡(均价),总价2078-2700(万/套)
京能云璟壹号,密云-鼓楼街道,阳光街京能云璟壹号,4室,建面 168-220㎡,36500- 元/㎡(均价),总价620-815(万/套)
懋源煜泽台,丰台-七里庄,北京市丰台区七里庄中国农业银行（北京丰台支行）南,3室,建面 99-229㎡,115000- 元/㎡(均价),总价1200-2900(万/套)
保利首开和锦汇,朝阳-常营,黄渠东路保利首开·和锦汇,,,90000- 元/㎡(均价),总价500(万/套)
尚峯壹号峯境,顺义-顺义其它,昌金路尚峯壹号峯境,,,30000- 元/㎡(均价),总价350(万/套)
国风金海,平谷-平谷其它,平蓟路与环镇东路交汇,1室,建面 53-87㎡,22000- 元/㎡(均价),总价120-190(万/套)
合景泰富天汇,顺义-马坡,顺义区昌金路与通顺路交汇处,2室,建面 70-117㎡,33000- 元/㎡(均价),总价230-430(万/套)
万科雲庐,丰台-丰台其它,魏各庄路万科雲庐,4室,建面 200-330㎡,39000- 元/㎡(均价),总价852-950(万/套)
万科雲庐,丰台-丰台其它,魏各庄路万科雲庐。售楼处位置在山湖路与泉湖西湖交叉位置,4室,建面 104-300㎡,39000- 元/㎡(均价),总价656-820(万/套)
海淀幸福里,海淀-海淀北部新区,北京市海淀区北清路与友谊路交叉口西北角,,建面 98-195㎡,83000- 元/㎡(均价),总价1200(万/套)
中海甲叁號院,丰台-玉泉营,丰台恒丰路,4室,建面 145-200㎡,125000- 元/㎡(均价),总价2500(万/套)
懋源·璟玺,朝阳-中央别墅区,孙河京密路与京平辅路交叉口西行1000米,4室,建面 500-716㎡,86000- 元/㎡(均价),总价3795-6360(万/套)
郎府书苑,通州-通州其它,西集镇京哈高速郎府出口南侧300米,3室,建面 89-116㎡,28000- 元/㎡(均价),总价294-324(万/套)
建邦·顺颐府,顺义-后沙峪,空港B区裕民大街30号,3室,建面 270㎡,55583- 元/㎡(均价),总价1300(万/套)
航城壹号,大兴-大兴新机场,大广高速瓜乡桥西北300米航城壹号,2室,建面 100-175㎡,32000- 元/㎡(均价),总价320-550(万/套)
北京天誉,丰台-十里河,北京市丰台区小红门路312号,3室,建面 150-220㎡,120000- 元/㎡(均价),总价2058-2850(万/套)
复地通运府,通州-万达,北京市通州区北大街148号,2室,建面 102-127㎡,42000- 元/㎡(均价),总价440-530(万/套)
中建宸庐,顺义-马坡,大营四街中建宸庐,3室,建面 170-190㎡,40000- 元/㎡(均价),总价850-1100(万/套)
合生me悦,大兴-瀛海,大兴区南五环德茂站西200米,2室,建面 52-120㎡,65000- 元/㎡(均价),总价490-760(万/套)
西山相府,门头沟-城子,城子大街13号,3室,建面 125-143㎡,58000- 元/㎡(均价),总价720-850(万/套)
国祥源境,密云-鼓楼街道,水源东路国祥源境,3室,建面 89-210㎡,29500- 元/㎡(均价),总价250-670(万/套)
丽苑太和,东城-东单,金鱼胡同丽苑太和,1室,建面 60-239㎡,900-4000- (万/套)(总价),
爱这城三期,朝阳-四惠,十里堡乙2号院,,,60000- 元/㎡(均价),总价520(万/套)
硅谷ONE,昌平-北七家,北京市昌平区北七家镇平坊村海白路,2室,建面 72-129㎡,54000- 元/㎡(均价),总价380-650(万/套)
绿城·桂语听澜,通州-通州其它,水南路桂语听澜,3室,建面 103-128㎡,58000- 元/㎡(均价),总价600(万/套)
公园和御,顺义-顺义其它,顺泰路公园和御,2室,建面 72-115㎡,39000- 元/㎡(均价),总价275-440(万/套)
晓风印月,朝阳-朝阳其它,北京市朝阳区崔各庄乡南皋路北侧,3室,建面 102-169㎡,85000- 元/㎡(均价),总价870-1000(万/套)
保利锦上二期,朝阳-垡头,东五环保利锦上二期,3室,建面 67-170㎡,71000- 元/㎡(均价),总价690-1260(万/套)
中海兴叁號院,大兴-旧宫,庑殿路中海兴叁號院,3室,建面 118-186㎡,73000- 元/㎡(均价),总价860-1050(万/套)
懋源璟瑜,丰台-七里庄,北京市丰台区七里庄路4号院西北（丰华苑东街西）,4室,建面 230㎡,130000- 元/㎡(均价),总价3000(万/套)
懋源璟廷,丰台-七里庄,北京市丰台区望园东里西北（望园北路北）,3室,建面 157-209㎡,130000- 元/㎡(均价),总价2078-2700(万/套)
京能云璟壹号,密云-鼓楼街道,阳光街京能云璟壹号,4室,建面 168-220㎡,36500- 元/㎡(均价),总价620-815(万/套)
懋源煜泽台,丰台-七里庄,北京市丰台区七里庄中国农业银行（北京丰台支行）南,3室,建面 99-229㎡,115000- 元/㎡(均价),总价1200-2900(万/套)
保利首开和锦汇,朝阳-常营,黄渠东路保利首开·和锦汇,,,90000- 元/㎡(均价),总价500(万/套)
尚峯壹号峯境,顺义-顺义其它,昌金路尚峯壹号峯境,,,30000- 元/㎡(均价),总价350(万/套)
国风金海,平谷-平谷其它,平蓟路与环镇东路交汇,1室,建面 53-87㎡,22000- 元/㎡(均价),总价120-190(万/套)
合景泰富天汇,顺义-马坡,顺义区昌金路与通顺路交汇处,2室,建面 70-117㎡,33000- 元/㎡(均价),总价230-430(万/套)
万科雲庐,丰台-丰台其它,魏各庄路万科雲庐,4室,建面 200-330㎡,39000- 元/㎡(均价),总价852-950(万/套)
万科雲庐,丰台-丰台其它,魏各庄路万科雲庐。售楼处位置在山湖路与泉湖西湖交叉位置,4室,建面 104-300㎡,39000- 元/㎡(均价),总价656-820(万/套)
海淀幸福里,海淀-海淀北部新区,北京市海淀区北清路与友谊路交叉口西北角,,建面 98-195㎡,83000- 元/㎡(均价),总价1200(万/套)
中海甲叁號院,丰台-玉泉营,丰台恒丰路,4室,建面 145-200㎡,125000- 元/㎡(均价),总价2500(万/套)
懋源·璟玺,朝阳-中央别墅区,孙河京密路与京平辅路交叉口西行1000米,4室,建面 500-716㎡,86000- 元/㎡(均价),总价3795-6360(万/套)
郎府书苑,通州-通州其它,西集镇京哈高速郎府出口南侧300米,3室,建面 89-116㎡,28000- 元/㎡(均价),总价294-324(万/套)
建邦·顺颐府,顺义-后沙峪,空港B区裕民大街30号,3室,建面 270㎡,55583- 元/㎡(均价),总价1300(万/套)
航城壹号,大兴-大兴新机场,大广高速瓜乡桥西北300米航城壹号,2室,建面 100-175㎡,32000- 元/㎡(均价),总价320-550(万/套)
北京天誉,丰台-十里河,北京市丰台区小红门路312号,3室,建面 150-220㎡,120000- 元/㎡(均价),总价2058-2850(万/套)
复地通运府,通州-万达,北京市通州区北大街148号,2室,建面 102-127㎡,42000- 元/㎡(均价),总价440-530(万/套)
中建宸庐,顺义-马坡,大营四街中建宸庐,3室,建面 170-190㎡,40000- 元/㎡(均价),总价850-1100(万/套)
合生me悦,大兴-瀛海,大兴区南五环德茂站西200米,2室,建面 52-120㎡,65000- 元/㎡(均价),总价490-760(万/套)
西山相府,门头沟-城子,城子大街13号,3室,建面 125-143㎡,58000- 元/㎡(均价),总价720-850(万/套)
国祥源境,密云-鼓楼街道,水源东路国祥源境,3室,建面 89-210㎡,29500- 元/㎡(均价),总价250-670(万/套)
丽苑太和,东城-东单,金鱼胡同丽苑太和,1室,建面 60-239㎡,900-4000- (万/套)(总价),
爱这城三期,朝阳-四惠,十里堡乙2号院,,,60000- 元/㎡(均价),总价520(万/套)
硅谷ONE,昌平-北七家,北京市昌平区北七家镇平坊村海白路,2室,建面 72-129㎡,54000- 元/㎡(均价),总价380-650(万/套)
绿城·桂语听澜,通州-通州其它,水南路桂语听澜,3室,建面 103-128㎡,58000- 元/㎡(均价),总价600(万/套)
公园和御,顺义-顺义其它,顺泰路公园和御,2室,建面 72-115㎡,39000- 元/㎡(均价),总价275-440(万/套)
晓风印月,朝阳-朝阳其它,北京市朝阳区崔各庄乡南皋路北侧,3室,建面 102-169㎡,85000- 元/㎡(均价),总价870-1000(万/套)
保利锦上二期,朝阳-垡头,东五环保利锦上二期,3室,建面 67-170㎡,71000- 元/㎡(均价),总价690-1260(万/套)
中海兴叁號院,大兴-旧宫,庑殿路中海兴叁號院,3室,建面 118-186㎡,73000- 元/㎡(均价),总价860-1050(万/套)
懋源璟瑜,丰台-七里庄,北京市丰台区七里庄路4号院西北（丰华苑东街西）,4室,建面 230㎡,130000- 元/㎡(均价),总价3000(万/套)
懋源璟廷,丰台-七里庄,北京市丰台区望园东里西北（望园北路北）,3室,建面 157-209㎡,130000- 元/㎡(均价),总价2078-2700(万/套)
京能云璟壹号,密云-鼓楼街道,阳光街京能云璟壹号,4室,建面 168-220㎡,36500- 元/㎡(均价),总价620-815(万/套)
懋源煜泽台,丰台-七里庄,北京市丰台区七里庄中国农业银行（北京丰台支行）南,3室,建面 99-229㎡,115000- 元/㎡(均价),总价1200-2900(万/套)
保利首开和锦汇,朝阳-常营,黄渠东路保利首开·和锦汇,,,90000- 元/㎡(均价),总价500(万/套)
尚峯壹号峯境,顺义-顺义其它,昌金路尚峯壹号峯境,,,30000- 元/㎡(均价),总价350(万/套)
国风金海,平谷-平谷其它,平蓟路与环镇东路交汇,1室,建面 53-87㎡,22000- 元/㎡(均价),总价120-190(万/套)
